GeneID	KEGG	Pfam	GO
Gene02220			
Gene02221			
Gene02222		PF13401.5,PF00004.28,PF07728.13	GO:0005524,GO:0016887
Gene02223	K00392	PF03460.16,PF01077.21,PF03460.16	GO:0016491,GO:0055114
Gene02224		PF01582.19	GO:0005515,GO:0007165
Gene02225		PF13812.5,PF13041.5,PF01535.19,PF12854.6,PF13041.5,PF01535.19,PF13812.5,PF12854.6,PF13041.5,PF01535.19,PF13812.5,PF12854.6,PF13041.5,PF01535.19	
Gene02226		PF02450.14	GO:0006629,GO:0008374
Gene02227			
Gene02228			
Gene02229	K13691	PF00201.17	GO:0008152,GO:0016758
Gene02230		PF13266.5	
Gene02231			
Gene02232			
Gene02233	K08857		
Gene02234		PF00225.22	GO:0003777,GO:0005524,GO:0007018,GO:0008017
Gene02235			
Gene02236		PF03407.15	
Gene02237			
Gene02238			
Gene02239		PF03108.14,PF10551.8,PF04434.16,PF00564.23	GO:0008270
Gene02240	K02879	PF01196.18	GO:0003735,GO:0005622,GO:0005840,GO:0006412
Gene02241			
Gene02242		PF02893.19,PF16016.4	
Gene02243			
Gene02244		PF13639.5,PF17123.4,PF13923.5,PF00097.24,PF12678.6	GO:0008270,GO:0046872
Gene02245			
Gene02246			
Gene02247	K01051	PF04043.14,PF01095.18	GO:0004857,GO:0005618,GO:0030599,GO:0042545
Gene02248			
Gene02249	K17292		
Gene02250		PF05726.12	
Gene02251	K21232	PF02597.19	
Gene02252			
Gene02253			
Gene02254	K15601		
Gene02255	K22132		
Gene02256			
Gene02257		PF08238.11,PF08238.11,PF08238.11,PF01753.17	
Gene02258		PF13947.5	GO:0030247
Gene02259			
Gene02260			
Gene02261	K12161	PF09138.10	GO:0005737,GO:0034227
Gene02262		PF14009.5	
Gene02263	K09338	PF00046.28,PF02183.17	GO:0003677,GO:0003700,GO:0006355,GO:0043565
Gene02264		PF00004.28	GO:0005524
Gene02265		PF00060.25,PF00497.19	GO:0004970,GO:0016020
Gene02266	K01366		
Gene02267			
Gene02268		PF04669.12	
Gene02269		PF14968.5	
Gene02270			
Gene02271			
Gene02272			
Gene02273	K15283	PF03151.15,PF00892.19	GO:0016020,GO:0016021
Gene02274	K11885	PF11976.7,PF00240.22,PF14560.5	GO:0005515
Gene02275			
Gene02276	K15103	PF00153.26,PF00153.26,PF00153.26	
Gene02277		PF08263.11,PF13855.5,PF13855.5,PF00560.32,PF13855.5	GO:0005515
Gene02278			
Gene02279		PF13519.5	
Gene02280	K08832	PF07714.16,PF00069.24,PF07714.16,PF00069.24	GO:0004672,GO:0005524,GO:0006468
Gene02281		PF03911.15	
Gene02282		PF00403.25	GO:0030001,GO:0046872
Gene02283			
Gene02284			
Gene02285		PF00612.26,PF00612.26	GO:0005515
Gene02286		PF01343.17	GO:0006508,GO:0008233
Gene02287			
Gene02288			
Gene02289			
Gene02290	K12471		
Gene02291		PF03765.14,PF00650.19	
Gene02292		PF00335.19	GO:0016021
Gene02293			
Gene02294	K02115	PF00231.18	GO:0015986,GO:0045261,GO:0046933
Gene02295	K15015	PF01490.17	
Gene02296	K20463	PF01237.17	
Gene02297			
Gene02298			
Gene02299			
Gene02300			
Gene02301			
Gene02302			
Gene02303			
Gene02304			
Gene02305		PF02190.15	
Gene02306			
Gene02307		PF04043.14	GO:0004857
Gene02308			
Gene02309		PF01985.20	GO:0003723
Gene02310		PF00657.21	GO:0016788
Gene02311	K15622		
Gene02312			
Gene02313		PF00270.28	GO:0003676,GO:0005524
Gene02314	K14012	PF14555.5,PF08059.12,PF00789.19	GO:0005515
Gene02315	K10398	PF16796.4,PF00225.22	GO:0003777,GO:0005524,GO:0007018,GO:0008017
Gene02316			
Gene02317		PF04043.14	GO:0004857
Gene02318			
Gene02319			
Gene02320		PF00012.19,PF06723.12,PF10712.8	GO:0000902
Gene02321	K12462	PF02115.16	GO:0005094,GO:0005737
Gene02322		PF14365.5,PF03080.14	
Gene02323			
Gene02324		PF01582.19,PF13676.5	GO:0005515,GO:0007165
Gene02325			
Gene02326	K16285	PF12678.6,PF13920.5,PF13639.5,PF17123.4,PF13923.5,PF14634.5,PF00097.24,PF13445.5	GO:0008270,GO:0046872
Gene02327		PF00226.30	
Gene02328			
Gene02329		PF00076.21	GO:0003676
Gene02330			
Gene02331		PF05368.12,PF01370.20,PF16363.4,PF01073.18,PF13460.5	GO:0003824,GO:0003854,GO:0006694,GO:0016616,GO:0050662,GO:0055114
Gene02332		PF15413.5,PF01237.17	
Gene02333		PF08263.11,PF00560.32	GO:0005515
Gene02334		PF10250.8	
Gene02335			
Gene02336		PF00650.19,PF13716.5	
Gene02337			
Gene02338	K14570	PF00929.23	
Gene02339		PF00854.20	GO:0005215,GO:0006810,GO:0016020
Gene02340		PF00190.21,PF00190.21	GO:0045735
Gene02341		PF00732.18	GO:0016614,GO:0050660,GO:0055114
Gene02342		PF00643.23,PF06203.13	GO:0005515,GO:0005622,GO:0008270
Gene02343		PF02985.21	GO:0005515
Gene02344			
Gene02345			
Gene02346			
Gene02347		PF05910.11	
Gene02348			
Gene02349			
Gene02350	K11446	PF02373.21,PF02928.15,PF05964.13,PF05965.13	GO:0005634
Gene02351	K15111	PF00153.26,PF00153.26,PF13436.5	
Gene02352	K02542	PF00493.22,PF01078.20	GO:0003677,GO:0005524,GO:0006270
Gene02353	K01369	PF01650.17	GO:0006508,GO:0008233
Gene02354		PF00249.30	
Gene02355			
Gene02356			
Gene02357		PF00612.26,PF00612.26	GO:0005515
Gene02358	K11654	PF00176.22,PF04851.14,PF00271.30	GO:0003677,GO:0005524,GO:0016787
Gene02359			
Gene02360	K15501	PF04499.14,PF04499.14	
Gene02361	K01082	PF00459.24	GO:0046854
Gene02362			
Gene02363			
Gene02364			
Gene02365		PF05116.12	
Gene02366		PF11250.7	
Gene02367		PF00179.25	
Gene02368			
Gene02369	K12356	PF00201.17	GO:0008152,GO:0016758
Gene02370		PF01676.17,PF10143.8	GO:0003824,GO:0046537,GO:0046872
Gene02371		PF15982.4	
Gene02372			
Gene02373			
Gene02374			
Gene02375		PF12589.7	
Gene02376			
Gene02377		PF12076.7	
Gene02378		PF01535.19,PF17177.3,PF13812.5,PF12854.6,PF13041.5,PF01535.19,PF12854.6,PF13041.5,PF01535.19,PF13812.5,PF12854.6,PF13041.5,PF01535.19	
Gene02379			
Gene02380			
Gene02381		PF01494.18	GO:0071949
Gene02382		PF00076.21,PF13893.5	GO:0003676
Gene02383		PF01985.20	GO:0003723
Gene02384	K03403	PF02514.15	GO:0009058
Gene02385		PF01294.17	GO:0003735,GO:0005622,GO:0005840,GO:0006412
Gene02386			
Gene02387	K09338	PF00046.28,PF01852.18	GO:0003677,GO:0008289
Gene02388			
Gene02389		PF13193.5	
Gene02390		PF01301.18	
Gene02391			
Gene02392			
Gene02393	K10688		
Gene02394		PF00646.32,PF12937.6	GO:0005515
Gene02395			
Gene02396			
Gene02397		PF00582.25	GO:0006950
Gene02398	K03255	PF13374.5,PF13424.5,PF13374.5,PF13424.5,PF13424.5,PF13374.5	
Gene02399			
Gene02400		PF03763.12	
Gene02401		PF00232.17	GO:0004553,GO:0005975
Gene02402			
Gene02403			
Gene02404			
Gene02405		PF07714.16,PF00069.24	GO:0004672,GO:0005524,GO:0006468
Gene02406		PF00311.16	GO:0006099,GO:0008964,GO:0015977
Gene02407			
Gene02408		PF00787.23	
Gene02409			
Gene02410		PF14576.5,PF14576.5	
Gene02411			
Gene02412			
Gene02413			
Gene02414			
Gene02415			
Gene02416			
Gene02417	K09527	PF13432.5,PF13432.5,PF13431.5,PF00515.27,PF13181.5,PF13432.5,PF00085.19	GO:0005515,GO:0045454
Gene02418			
Gene02419			
Gene02420	K11251	PF00125.23,PF16211.4	
Gene02421		PF08392.11	GO:0006633,GO:0016020,GO:0016747
Gene02422	K19788	PF01926.22,PF02421.17	GO:0005525
Gene02423		PF07714.16,PF00069.24	GO:0004672,GO:0005524,GO:0006468
Gene02424		PF02181.22	
Gene02425			
Gene02426		PF03822.13	GO:0007165
Gene02427			
Gene02428			
Gene02429		PF13561.5,PF00106.24,PF08659.9	
Gene02430			
Gene02431			
Gene02432			
Gene02433	K03327	PF01554.17	GO:0006855,GO:0015238,GO:0015297,GO:0016020,GO:0055085
Gene02434		PF10602.8	
Gene02435		PF03141.15	GO:0008168
Gene02436	K10777	PF04675.13	GO:0003677,GO:0003910,GO:0006281,GO:0006310
Gene02437			
Gene02438		PF00005.26	GO:0005524,GO:0016887
Gene02439			
Gene02440			
Gene02441			
Gene02442		PF00026.22,PF03489.16,PF05184.14	GO:0006629
Gene02443	K04794	PF01981.15	GO:0004045
Gene02444			
Gene02445		PF00069.24,PF07714.16	GO:0004672,GO:0005524,GO:0006468
Gene02446		PF04783.11,PF04782.11	
Gene02447			
Gene02448		PF14008.5	
Gene02449		PF00069.24,PF07714.16	GO:0004672,GO:0005524,GO:0006468
Gene02450			
Gene02451			
Gene02452			
Gene02453			
Gene02454			
Gene02455		PF00443.28	GO:0016579,GO:0036459
Gene02456			
Gene02457			
Gene02458			
Gene02459		PF00982.20	GO:0003824,GO:0005992
Gene02460	K03549	PF02705.15	GO:0015079,GO:0016020,GO:0071805
Gene02461		PF13947.5	GO:0030247
Gene02462			
Gene02463			
Gene02464		PF00282.18	GO:0016831,GO:0019752,GO:0030170
Gene02465	K03217	PF02096.19	GO:0016021,GO:0051205
Gene02466		PF13456.5	
Gene02467		PF13292.5	GO:0008661,GO:0016114
Gene02468		PF14369.5,PF13639.5,PF13923.5,PF17123.4,PF00097.24,PF13445.5,PF06547.11	GO:0046872
Gene02469			
Gene02470			
Gene02471			
Gene02472	K09597	PF02225.21,PF04258.12	GO:0004190,GO:0016021
Gene02473			
Gene02474			
Gene02475		PF03492.14	GO:0008168
Gene02476			
Gene02477			
Gene02478		PF03878.14	
Gene02479			
Gene02480	K00876		
Gene02481		PF07889.11	
Gene02482			
Gene02483		PF02301.17	
Gene02484	K01527	PF01849.17	
Gene02485		PF00462.23	GO:0009055,GO:0015035,GO:0045454
Gene02486			
Gene02487			
Gene02488			
Gene02489			
Gene02490			
Gene02491			
Gene02492			
Gene02493			
Gene02494			
Gene02495		PF00295.16	GO:0004650,GO:0005975
Gene02496			
Gene02497			
Gene02498			
Gene02499		PF16135.4,PF16135.4	
Gene02500			
Gene02501		PF08246.11,PF08246.11	
Gene02502		PF00139.18	GO:0030246
Gene02503		PF16294.4	
Gene02504			
Gene02505			
Gene02506		PF06813.12	
Gene02507		PF12146.7,PF00561.19,PF12697.6	
Gene02508	K19525	PF16910.4	
Gene02509		PF00139.18,PF00069.24,PF07714.16	GO:0004672,GO:0005524,GO:0006468,GO:0030246
Gene02510			
Gene02511			
Gene02512	K11420	PF05033.15,PF00856.27	GO:0005515,GO:0005634,GO:0008270,GO:0018024,GO:0034968
Gene02513			
Gene02514		PF16113.4	GO:0003860
Gene02515			
Gene02516		PF02880.15	GO:0005975,GO:0016868
Gene02517			
Gene02518	K14521	PF05127.13	
Gene02519			
Gene02520	K22824	PF09486.9,PF17098.4	GO:0005634,GO:0080009
Gene02521			
Gene02522		PF02721.13	
Gene02523		PF00999.20	GO:0006812,GO:0015299,GO:0016021,GO:0055085
Gene02524		PF00931.21	GO:0043531
Gene02525		PF04570.13	
Gene02526			
Gene02527		PF07795.10	
Gene02528			
Gene02529		PF02902.18	GO:0006508,GO:0008234
Gene02530			
Gene02531			
Gene02532		PF02309.15	
Gene02533	K13103		
Gene02534	K14505	PF00134.22,PF02984.18	GO:0005634
Gene02535	K08237	PF00201.17	GO:0008152,GO:0016758
Gene02536		PF00847.19	GO:0003700,GO:0006355
Gene02537			
Gene02538			
Gene02539			
Gene02540			
Gene02541		PF00651.30	GO:0005515
Gene02542			
Gene02543		PF00656.21	
Gene02544			
Gene02545			
Gene02546		PF12717.6	
Gene02547		PF08372.9	
Gene02548		PF07714.16,PF00069.24	
Gene02549			
Gene02550		PF00069.24,PF07714.16,PF03822.13	GO:0004672,GO:0005524,GO:0006468,GO:0007165
Gene02551			
Gene02552	K02519		
Gene02553		PF08240.11	GO:0055114
Gene02554			
Gene02555		PF08263.11,PF13855.5,PF00560.32,PF00560.32	GO:0005515
Gene02556		PF07714.16,PF00069.24	GO:0004672,GO:0005524,GO:0006468
Gene02557	K03320	PF00909.20	GO:0008519,GO:0015696,GO:0016020
Gene02558	K00430	PF00141.22	GO:0004601,GO:0006979,GO:0020037,GO:0055114
Gene02559		PF06813.12	
Gene02560			
Gene02561			
Gene02562	K09338		
Gene02563			
Gene02564	K08339		
Gene02565		PF02701.14	GO:0003677,GO:0006355
Gene02566			
Gene02567	K02872	PF00572.17	GO:0003735,GO:0005840,GO:0006412
Gene02568	K14487	PF03321.12	
Gene02569		PF01453.23	
Gene02570	K00430	PF00141.22	GO:0004601,GO:0006979,GO:0020037,GO:0055114
Gene02571		PF05938.10	
Gene02572			
Gene02573		PF04791.15	
Gene02574		PF00646.32	GO:0005515
Gene02575	K11699	PF05183.11	GO:0003968
Gene02576			
Gene02577	K14376	PF04928.16	GO:0004652,GO:0043631
Gene02578			
Gene02579			
Gene02580	K11353	PF06212.11	
Gene02581	K15692	PF02225.21,PF13639.5,PF17123.4,PF00097.24	GO:0046872
Gene02582			
Gene02583			
Gene02584		PF00646.32	GO:0005515
Gene02585		PF03547.17	GO:0016021,GO:0055085
Gene02586	K03028	PF01851.21	
Gene02587		PF05147.12	
Gene02588		PF13833.5,PF13499.5,PF00036.31,PF13202.5,PF13833.5,PF00036.31,PF13202.5,PF13833.5,PF13499.5,PF00036.31,PF13405.5,PF13202.5,PF13833.5,PF00036.31,PF13202.5	GO:0005509
Gene02589		PF04083.15	
Gene02590			
Gene02591	K09422	PF00249.30,PF13921.5	
Gene02592			
Gene02593	K14760	PF00501.27,PF13193.5	GO:0003824,GO:0008152
Gene02594			
Gene02595		PF05033.15	GO:0005634,GO:0008270,GO:0018024,GO:0034968
Gene02596			
Gene02597		PF05496.11,PF00004.28,PF07724.13	GO:0005524,GO:0006281,GO:0006310,GO:0009378
Gene02598		PF00226.30	
Gene02599		PF08156.12	
Gene02600		PF02225.21,PF00082.21	GO:0004252,GO:0006508
Gene02601		PF00651.30	GO:0005515
Gene02602			
Gene02603		PF08627.9	
Gene02604		PF07732.14	GO:0005507
Gene02605		PF00583.24,PF13673.6	GO:0008080
Gene02606	K10875	PF04851.14,PF00176.22,PF00271.30	GO:0003677,GO:0005524,GO:0016787
Gene02607		PF05970.13,PF02689.13	GO:0000723,GO:0003678,GO:0004386,GO:0005524,GO:0006281
Gene02608	K15083	PF04851.14,PF00176.22	GO:0003677,GO:0005524,GO:0016787
Gene02609	K22949	PF06574.11,PF01467.25	GO:0003824,GO:0003919,GO:0009058,GO:0009231
Gene02610		PF06999.11	
Gene02611			
Gene02612			
Gene02613			
Gene02614			
Gene02615		PF00083.23,PF07690.15	GO:0016021,GO:0022857,GO:0055085
Gene02616	K01188	PF00232.17	GO:0004553,GO:0005975
Gene02617		PF00230.19	GO:0005215,GO:0006810,GO:0016020
Gene02618			
Gene02619			
Gene02620		PF01095.18	GO:0005618,GO:0030599,GO:0042545
Gene02621		PF00076.21,PF14111.5	GO:0003676
Gene02622			
Gene02623	K12382	PF05184.14,PF03489.16,PF05184.14,PF03489.16	GO:0006629
Gene02624		PF05212.11	
Gene02625			
Gene02626		PF00069.24,PF07714.16	GO:0004672,GO:0005524,GO:0006468
Gene02627			
Gene02628		PF14833.5	GO:0051287
Gene02629			
Gene02630		PF05699.13	GO:0046983
Gene02631			
Gene02632			
Gene02633			
Gene02634			
Gene02635		PF01433.19	GO:0008237,GO:0008270
Gene02636		PF00076.21	GO:0003676
Gene02637			
Gene02638		PF04770.11	
Gene02639		PF15982.4	
Gene02640		PF00004.28	GO:0005524
Gene02641		PF00160.20	GO:0000413,GO:0003755
Gene02642		PF01412.17,PF00168.29	GO:0005096
Gene02643			
Gene02644			
Gene02645			
Gene02646		PF12047.7,PF12047.7	
Gene02647		PF14383.5,PF12552.7	
Gene02648		PF01582.19,PF13676.5	GO:0005515,GO:0007165
Gene02649		PF13676.5,PF01582.19,PF00931.21	GO:0005515,GO:0007165,GO:0043531
Gene02650		PF00462.23,PF00610.20	GO:0009055,GO:0015035,GO:0035556,GO:0045454
Gene02651			
Gene02652			
Gene02653	K01934	PF01812.19	
Gene02654			
Gene02655			
Gene02656		PF01331.18	GO:0004484,GO:0006370
Gene02657	K03850	PF04922.11	GO:0004583,GO:0005789,GO:0006488
Gene02658		PF00139.18,PF00069.24,PF07714.16	GO:0004672,GO:0005524,GO:0006468,GO:0030246
Gene02659		PF00628.28	
Gene02660			
Gene02661		PF01179.19	GO:0005507,GO:0008131,GO:0009308,GO:0048038,GO:0055114
Gene02662			
Gene02663		PF04043.14	GO:0004857
Gene02664		PF02167.14	GO:0009055,GO:0020037
Gene02665		PF00069.24,PF07714.16	GO:0004672,GO:0005524,GO:0006468
Gene02666		PF08263.11,PF13516.5,PF13855.5	GO:0005515
Gene02667		PF00249.30,PF13921.5	
Gene02668	K16281	PF13639.5,PF17123.4	
Gene02669			
Gene02670			
Gene02671			
Gene02672		PF00139.18	GO:0030246
Gene02673	K17917	PF09325.9	
Gene02674			
Gene02675		PF00079.19	
Gene02676			
Gene02677			
Gene02678			
Gene02679	K19828		
Gene02680	K14516	PF00847.19	GO:0003700,GO:0006355
Gene02681		PF05349.11	GO:0003677,GO:0005634,GO:0008270,GO:0045893
Gene02682		PF00067.21	GO:0005506,GO:0016705,GO:0020037,GO:0055114
Gene02683			
Gene02684			
Gene02685			
Gene02686			
Gene02687			
Gene02688			
Gene02689			
Gene02690		PF00514.22,PF00651.30	GO:0005515
Gene02691	K08994	PF01062.20	
Gene02692		PF03110.13	GO:0003677,GO:0005634
Gene02693			
Gene02694		PF07714.16,PF00069.24,PF00954.19,PF08276.10,PF14295.5	GO:0004672,GO:0005524,GO:0006468
Gene02695		PF03127.13	GO:0005622,GO:0006886
Gene02696			
Gene02697		PF02298.16	GO:0009055
Gene02698			
Gene02699			
Gene02700			
Gene02701	K03955	PF00550.24	
Gene02702			
Gene02703			
Gene02704			
Gene02705		PF02463.18,PF13476.5	
Gene02706		PF03552.13,PF03552.13	GO:0016020,GO:0016760,GO:0030244
Gene02707	K02921		
Gene02708	K14487	PF03321.12	
Gene02709		PF13912.5	
Gene02710	K22761	PF03121.14	
Gene02711			
Gene02712		PF08392.11	GO:0006633,GO:0016020,GO:0016747
Gene02713		PF01657.16,PF01657.16	
Gene02714		PF07574.12	GO:0006281,GO:0030915
Gene02715		PF01869.19	
Gene02716	K12373	PF00728.21	GO:0004553,GO:0005975
Gene02717			
Gene02718		PF00225.22	GO:0003777,GO:0005524,GO:0007018,GO:0008017
Gene02719		PF13306.5	
Gene02720		PF13855.5	GO:0005515
Gene02721			
Gene02722			
Gene02723		PF01535.19,PF01535.19,PF01535.19,PF01535.19,PF12854.6,PF13041.5,PF13812.5,PF01535.19	
Gene02724		PF05600.11	
Gene02725		PF00067.21	GO:0005506,GO:0016705,GO:0020037,GO:0055114
Gene02726			
Gene02727			
Gene02728			
Gene02729			
Gene02730			
Gene02731			
Gene02732			
Gene02733			
Gene02734			
Gene02735	K03165	PF01131.19	GO:0003677,GO:0003916,GO:0006265
Gene02736			
Gene02737			
Gene02738	K01076		
Gene02739			
Gene02740		PF04564.14,PF13445.5	GO:0004842,GO:0016567
Gene02741			
Gene02742		PF01743.19	GO:0003723,GO:0006396,GO:0016779
Gene02743		PF00595.23,PF13180.5	GO:0005515
Gene02744		PF02171.16	GO:0003676
Gene02745			
Gene02746			
Gene02747		PF04080.12	
Gene02748			
Gene02749			
Gene02750		PF14416.5,PF13839.5	
Gene02751		PF00514.22,PF00514.22,PF02985.21	GO:0005515
Gene02752			
Gene02753		PF03479.14	
Gene02754			
Gene02755			
Gene02756			
Gene02757		PF00069.24,PF07714.16	GO:0004672,GO:0005524,GO:0006468
Gene02758			
Gene02759		PF00481.20	GO:0003824
Gene02760		PF03168.12	
Gene02761	K22817	PF07574.12,PF08746.10	GO:0006281,GO:0030915
Gene02762			
Gene02763			
Gene02764		PF13668.5	
Gene02765	K02210	PF17207.2,PF00493.22	GO:0003677,GO:0005524,GO:0006270
Gene02766			
Gene02767		PF13855.5,PF13855.5,PF13516.5,PF00560.32,PF13855.5,PF00560.32,PF00069.24,PF07714.16	GO:0004672,GO:0005515,GO:0005524,GO:0006468
Gene02768		PF00646.32,PF12937.6,PF13516.5	GO:0005515
Gene02769		PF00085.19,PF00578.20,PF13098.5,PF13899.5	GO:0016209,GO:0016491,GO:0045454,GO:0055114
Gene02770			
Gene02771		PF03151.15,PF08449.10,PF00892.19	GO:0016020,GO:0016021,GO:0055085
Gene02772	K15032	PF02536.13,PF02536.13	GO:0003690,GO:0006355
Gene02773		PF13812.5,PF01535.19,PF12854.6,PF01535.19,PF01535.19,PF13812.5,PF01535.19,PF13041.5,PF01535.19,PF01535.19,PF13041.5,PF01535.19,PF12854.6,PF01535.19,PF01535.19	
Gene02774			
Gene02775		PF12146.7,PF12697.6	
Gene02776		PF00632.24	
Gene02777			
Gene02778			
Gene02779			
Gene02780		PF00069.24,PF07714.16	
Gene02781			
Gene02782			
Gene02783			
Gene02784	K03798		
Gene02785		PF16697.4,PF00498.25	GO:0005515
Gene02786		PF00150.17	GO:0004553,GO:0005975
Gene02787			
Gene02788			
Gene02789	K10589		
Gene02790		PF01040.17	GO:0016021,GO:0016765
Gene02791			
Gene02792	K19027		
Gene02793		PF00504.20	
Gene02794		PF03168.12	
Gene02795			
Gene02796			
Gene02797			
Gene02798			
Gene02799			
Gene02800			
Gene02801		PF14826.5,PF00557.23,PF08644.10,PF08512.11	
Gene02802	K14502	PF00069.24,PF07714.16	GO:0004672,GO:0005524,GO:0006468
Gene02803			
Gene02804			
Gene02805			
Gene02806	K10664	PF13639.5,PF17123.4,PF13923.5,PF00097.24,PF13445.5,PF12861.6,PF12678.6	GO:0004842,GO:0005680,GO:0008270,GO:0046872
Gene02807			
Gene02808			
Gene02809	K14837		
Gene02810			
Gene02811			
Gene02812			
Gene02813	K11884	PF00013.28	GO:0003723
Gene02814	K10527	PF02737.17,PF00725.21	GO:0003857,GO:0006631,GO:0016491,GO:0055114
Gene02815		PF00657.21	GO:0016788
Gene02816			
Gene02817			
Gene02818			
Gene02819		PF03982.12	GO:0016747
Gene02820			
Gene02821			
Gene02822		PF00069.24,PF07714.16	GO:0004672,GO:0005524,GO:0006468
Gene02823			
Gene02824			
Gene02825			
Gene02826		PF07728.13,PF00004.28,PF07724.13,PF05496.11	GO:0005524,GO:0006281,GO:0006310,GO:0009378,GO:0016887
Gene02827			
Gene02828		PF00069.24,PF07714.16	GO:0004672,GO:0005524,GO:0006468
Gene02829		PF02201.17,PF03126.17	GO:0003677,GO:0005515
Gene02830	K11420	PF02182.16,PF05033.15,PF00856.27	GO:0005515,GO:0005634,GO:0008270,GO:0018024,GO:0034968,GO:0042393
Gene02831			
Gene02832		PF00860.19	GO:0005215,GO:0006810,GO:0016020,GO:0055085
Gene02833		PF00628.28	
Gene02834	K00012	PF03721.13,PF00984.18,PF03720.14	GO:0016616,GO:0051287,GO:0055114
Gene02835			
Gene02836		PF03547.17	GO:0016021,GO:0055085
Gene02837			
Gene02838	K04728		
Gene02839	K01114	PF04185.13	GO:0016788
Gene02840		PF07496.14	GO:0008270
Gene02841			
Gene02842			
Gene02843		PF03195.13	
Gene02844			
Gene02845			
Gene02846		PF00657.21	GO:0016788
Gene02847			
Gene02848		PF07690.15	GO:0016021,GO:0055085
Gene02849			
Gene02850		PF13912.5,PF12874.6	
Gene02851			
Gene02852		PF06814.12	GO:0016021
Gene02853		PF00646.32	GO:0005515
Gene02854			
Gene02855	K18801	PF04669.12	
Gene02856			
Gene02857	K03671		
Gene02858		PF14223.5,PF00098.22	GO:0003676,GO:0008270
Gene02859			
Gene02860			
Gene02861			
Gene02862		PF00658.17	GO:0003723
Gene02863			
Gene02864		PF00013.28,PF00013.28	GO:0003723
Gene02865			
Gene02866			
Gene02867	K12386	PF04193.13	
Gene02868		PF00141.22,PF00141.22	GO:0004601,GO:0006979,GO:0020037,GO:0055114
Gene02869	K03262	PF02020.17	GO:0005515
Gene02870		PF04564.14	GO:0004842,GO:0016567
Gene02871			
Gene02872			
Gene02873		PF00069.24,PF07714.16	GO:0004672,GO:0005524,GO:0006468
Gene02874			
Gene02875			
Gene02876	K14560		
Gene02877		PF00561.19,PF12146.7,PF12697.6	
Gene02878		PF14368.5,PF00234.21	
Gene02879		PF00083.23	GO:0016021,GO:0022857,GO:0055085
Gene02880		PF01095.18,PF04043.14	GO:0005618,GO:0030599,GO:0042545
Gene02881		PF07714.16,PF00069.24,PF14531.5	GO:0004672,GO:0005524,GO:0006468
Gene02882			
Gene02883			
Gene02884		PF00076.21	GO:0003676
Gene02885			
Gene02886		PF01150.16	GO:0016787
Gene02887			
Gene02888			
Gene02889			
Gene02890			
Gene02891			
Gene02892	K15334	PF01189.16	GO:0008168
Gene02893			
Gene02894			
Gene02895		PF12937.6,PF00646.32,PF07734.12	GO:0005515
Gene02896			
Gene02897			
Gene02898			
Gene02899		PF00916.19	GO:0008272,GO:0015116,GO:0016021
Gene02900		PF03790.12,PF03791.12	GO:0003677,GO:0005634
Gene02901	K10581	PF00179.25	
Gene02902			
Gene02903	K14440	PF00271.30	
Gene02904			
Gene02905			
Gene02906		PF01061.23	GO:0016020
Gene02907		PF03765.14	
Gene02908		PF13646.5,PF02985.21	GO:0005515
Gene02909	K00430	PF00141.22	GO:0004601,GO:0006979,GO:0020037,GO:0055114
Gene02910			
Gene02911		PF00067.21,PF00067.21	GO:0005506,GO:0016705,GO:0020037,GO:0055114
Gene02912			
Gene02913		PF08356.11	
Gene02914			
Gene02915		PF00428.18	
Gene02916		PF14365.5,PF03080.14	
Gene02917		PF12998.6	
Gene02918	K20562	PF00067.21,PF00067.21	GO:0005506,GO:0016705,GO:0020037,GO:0055114
Gene02919		PF00646.32	GO:0005515
Gene02920		PF05773.21	GO:0005515
Gene02921			
Gene02922			
Gene02923			
Gene02924			
Gene02925			
Gene02926			
Gene02927			
Gene02928			
Gene02929		PF03634.12	
Gene02930			
Gene02931			
Gene02932		PF01453.23	
Gene02933			
Gene02934			
Gene02935		PF06813.12,PF07690.15	GO:0016021,GO:0055085
Gene02936			
Gene02937			
Gene02938			
Gene02939		PF05938.10	
Gene02940	K03655		
Gene02941		PF01556.17	
Gene02942			
Gene02943			
Gene02944			
Gene02945			
Gene02946			
Gene02947			
Gene02948			
Gene02949		PF04063.13	
Gene02950		PF11833.7	
Gene02951	K06677		
Gene02952	K02520	PF14049.5,PF05198.15	GO:0003743,GO:0006413
Gene02953		PF13738.5,PF07992.13,PF01494.18,PF00743.18,PF13450.5,PF13434.5	GO:0004499,GO:0016491,GO:0050660,GO:0050661,GO:0055114,GO:0071949
Gene02954			
Gene02955			
Gene02956			
Gene02957		PF06071.12	
Gene02958		PF01805.19	GO:0003723,GO:0006396
Gene02959	K03116	PF02416.15	GO:0008565,GO:0015031
Gene02960		PF06813.12	
Gene02961			
Gene02962			
Gene02963		PF02458.14	GO:0016747
Gene02964		PF01501.19	GO:0016757
Gene02965			
Gene02966	K11752	PF00383.22	
Gene02967	K02881		
Gene02968			
Gene02969		PF02365.14	GO:0003677,GO:0006355
Gene02970	K08829	PF00069.24,PF07714.16	GO:0004672,GO:0005524,GO:0006468
Gene02971			
Gene02972		PF00962.21	GO:0019239
Gene02973			
Gene02974			
Gene02975			
Gene02976	K20870	PF03016.14	
Gene02977		PF02485.20	GO:0008375,GO:0016020
Gene02978			
Gene02979		PF00067.21	GO:0005506,GO:0016705,GO:0020037,GO:0055114
Gene02980		PF02798.19,PF13409.5	GO:0005515
